Date,Count
7/27/22,9
7/27/22,9
7/28/22,11
7/29/22,13
7/30/22,13
7/31/22,13
8/1/22,13
8/3/22,14
8/4/22,16
8/4/22,16
8/5/22,16
8/6/22,16
8/7/22,16
8/8/22,16
8/9/22,16
8/10/22,16
8/11/22,17
8/12/22,17
8/13/22,17
8/14/22,17
8/15/22,17
8/15/22,20
8/16/22,20
8/17/22,20
8/18/22,20
8/19/22,22
8/21/22,22
8/22/22,24
8/22/22,24
8/23/22,24
8/24/22,24
8/25/22,25
8/26/22,25
8/27/22,25
8/28/22,25
8/29/22,27
8/30/22,29
8/31/22,30
9/1/22,32
9/1/22,32
9/2/22,33
9/3/22,33
9/4/22,33
9/5/22,33
9/6/22,37
9/7/22,37
9/8/22,40
9/9/22,44
9/10/22,44
9/11/22,44
9/12/22,45
9/13/22,47
9/14/22,50
9/15/22,53
9/16/22,53
9/17/22,53
9/18/22,53
9/19/22,55
9/20/22,58
9/21/22,60
9/22/22,62
9/23/22,65
9/24/22,65
9/25/22,65
9/26/22,68
9/27/22,70
9/28/22,71
9/29/22,74
9/30/22,77
10/1/22,77
10/2/22,77
10/3/22,81
10/4/22,82
10/5/22,85
10/6/22,87
10/7/22,90
10/8/22,90
10/9/22,90
10/10/22,92
10/11/22,93
10/12/22,93
10/13/22,98
10/14/22,107
10/15/22,107
10/16/22,107
10/17/22,110
10/18/22,114
10/19/22,117
10/20/22,118
10/21/22,122
10/22/22,122
10/23/22,122
10/24/22,122
10/25/22,122
10/26/22,122
10/27/22,122
10/28/22,141
10/29/22,141
10/30/22,141
10/31/22,141
11/1/22,141
11/2/22,141
11/3/22,141
11/4/22,153
11/5/22,153
11/6/22,153
11/7/22,153
