Date,Count
6/10/22,1
6/11/22,1
6/12/22,1
6/13/22,1
6/14/22,2
6/15/22,2
6/16/22,2
6/17/22,2
6/18/22,2
6/19/22,2
6/20/22,2
6/21/22,2
6/22/22,4
6/23/22,4
6/24/22,4
6/25/22,4
6/26/22,7
6/27/22,7
6/28/22,7
6/29/22,7
6/30/22,7
7/1/22,7
7/2/22,7
7/3/22,7
7/4/22,7
7/5/22,7
7/6/22,7
7/7/22,7
7/8/22,26
7/9/22,26
7/10/22,26
7/11/22,26
7/12/22,26
7/13/22,39
7/14/22,42
7/15/22,43
7/16/22,76
7/17/22,76
7/18/22,76
7/19/22,80
7/20/22,81
7/21/22,81
7/22/22,61
7/23/22,107
7/24/22,107
7/25/22,107
7/26/22,220
7/27/22,223
7/28/22,287
7/29/22,315
7/30/22,351
7/31/22,351
8/1/22,485
8/2/22,485
8/3/22,485
8/4/22,527
8/4/22,527
8/5/22,559
8/6/22,606
8/7/22,606
8/8/22,606
8/9/22,702
8/10/22,748
8/11/22,780
